Rk,Player,Name,Tag,Season,Age,Tm,Lg,PTS,TS%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
84,World B. Free\freewo01,World B. Free,freewo01,1978-79,25,SDC,NBA,34.3,0.552,10.1,78,,2954,795,1653,795,1653,,,654,865,127,174,301,340,111,35,297,253,2244,0.481,0.481,,0.481,0.756
85,Kyle Lowry\lowryky01,Kyle Lowry,lowryky01,2016-17,30,TOR,NBA,30.4,0.623,10.1,60,60,2244,426,918,233,450,193,468,299,365,48,238,286,417,88,19,173,170,1344,0.464,0.518,0.412,0.569,0.819
86,Mike Conley\conlemi01,Mike Conley,conlemi01,2016-17,29,MEM,NBA,32.1,0.604,10,69,68,2292,464,1009,293,590,171,419,316,368,31,210,241,433,92,19,156,126,1415,0.46,0.497,0.408,0.545,0.859
87,Paul Westphal\westppa01,Paul Westphal,westppa01,1977-78,27,PHO,NBA,35,0.565,9.8,80,,2481,809,1568,809,1568,,,396,487,41,123,164,437,138,31,280,162,2014,0.516,0.516,,0.516,0.813
88,Manu Ginobili\ginobma01,Manu Ginobili,ginobma01,2009-10,32,SAS,NBA,30.1,0.584,9.7,75,21,2150,398,903,266,553,132,350,309,355,68,216,284,370,103,24,154,154,1237,0.441,0.481,0.377,0.514,0.87
89,Isaiah Thomas\thomais02,Isaiah Thomas,thomais02,2015-16,26,BOS,NBA,33.6,0.562,9.7,82,79,2644,591,1382,424,917,167,465,474,544,46,197,243,509,91,9,220,167,1823,0.428,0.462,0.359,0.488,0.871
90,Sam Cassell\cassesa01,Sam Cassell,cassesa01,2002-03,33,MIL,NBA,30.2,0.565,9.6,78,77,2700,546,1162,487,999,59,163,385,447,57,285,342,450,88,14,177,216,1536,0.47,0.487,0.362,0.495,0.861
91,Tony Parker\parketo01,Tony Parker,parketo01,2005-06,23,SAS,NBA,30.2,0.584,9.6,80,80,2715,623,1136,612,1100,11,36,253,358,38,223,261,460,83,4,249,161,1510,0.548,0.556,0.306,0.553,0.707
92,Tony Parker\parketo01,Tony Parker,parketo01,2006-07,24,SAS,NBA,30.6,0.572,9.6,77,77,2499,570,1096,555,1058,15,38,274,350,34,216,250,420,82,6,191,137,1429,0.52,0.525,0.395,0.527,0.783
93,Dwyane Wade\wadedw01,Dwyane Wade,wadedw01,2012-13,31,MIA,NBA,32.4,0.571,9.6,69,69,2391,569,1093,552,1027,17,66,308,425,86,258,344,352,128,56,194,140,1463,0.521,0.537,0.258,0.528,0.725
94,Ray Allen\allenra02,Ray Allen,allenra02,2005-06,30,SEA,NBA,33.9,0.59,9.5,78,78,3022,681,1500,412,847,269,653,324,359,71,261,332,286,105,16,188,151,1955,0.454,0.486,0.412,0.544,0.903
95,Kevin Martin\martike02,Kevin Martin,martike02,2010-11,27,HOU,NBA,36.7,0.601,9.5,80,80,2603,553,1267,377,808,176,459,594,669,28,230,258,198,80,15,184,155,1876,0.436,0.467,0.383,0.506,0.888
96,Jim Paxson\paxsoji02,Jim Paxson,paxsoji02,1983-84,26,POR,NBA,30.4,0.573,9.5,81,81,2686,680,1322,663,1263,17,59,345,410,68,105,173,251,122,10,142,165,1722,0.514,0.525,0.288,0.521,0.841
97,David Thompson\thompda01,David Thompson,thompda01,1978-79,24,DEN,NBA,31,0.567,9.5,76,,2670,693,1353,693,1353,,,439,583,109,165,274,225,70,82,186,180,1825,0.512,0.512,,0.512,0.753
98,Walter Davis\daviswa03,Walter Davis,daviswa03,1978-79,24,PHO,NBA,33.9,0.606,9.4,79,,2437,764,1362,764,1362,,,340,409,111,262,373,339,147,26,293,250,1868,0.561,0.561,,0.561,0.831
99,George Gervin\gervige01,George Gervin,gervige01,1982-83,30,SAS,NBA,33.5,0.561,9.4,78,78,2830,757,1553,745,1520,12,33,517,606,111,246,357,264,88,67,247,243,2043,0.487,0.49,0.364,0.491,0.853
100,Dale Ellis\ellisda01,Dale Ellis,ellisda01,1986-87,26,SEA,NBA,31.3,0.588,9.3,82,76,3073,785,1520,699,1280,86,240,385,489,187,260,447,238,104,32,238,267,2041,0.516,0.546,0.358,0.545,0.787
101,Tony Parker\parketo01,Tony Parker,parketo01,2012-13,30,SAS,NBA,31.4,0.588,9.3,66,66,2174,519,995,495,927,24,68,279,330,18,180,198,499,54,6,170,92,1341,0.522,0.534,0.353,0.534,0.845
102,Mitch Richmond\richmmi01,Mitch Richmond,richmmi01,1995-96,30,SAC,NBA,32.7,0.591,9.3,81,81,2946,611,1368,386,853,225,515,425,491,54,215,269,255,125,19,220,233,1872,0.447,0.453,0.437,0.529,0.866
103,Damian Lillard\lillada01,Damian Lillard,lillada01,2015-16,25,POR,NBA,35.1,0.56,9.2,75,75,2676,618,1474,389,864,229,610,414,464,45,257,302,512,65,28,242,165,1879,0.419,0.45,0.375,0.497,0.892
104,Ray Allen\allenra02,Ray Allen,allenra02,2002-03,27,TOT,NBA,31.9,0.565,9.1,76,75,2880,598,1363,397,830,201,533,316,345,94,287,381,334,103,14,198,220,1713,0.439,0.478,0.377,0.512,0.916
105,Joe Dumars\dumarjo01,Joe Dumars,dumarjo01,1992-93,29,DET,NBA,30.1,0.555,9.1,77,77,3094,677,1454,565,1155,112,299,343,397,63,85,148,308,78,7,138,141,1809,0.466,0.489,0.375,0.504,0.864
106,Brandon Roy\roybr01,Brandon Roy,roybr01,2009-10,25,POR,NBA,31.6,0.568,9.1,65,65,2419,491,1038,418,817,73,221,343,440,73,212,285,305,61,16,129,136,1398,0.473,0.512,0.33,0.508,0.78
107,DeMar DeRozan\derozde01,DeMar DeRozan,derozde01,2016-17,27,TOR,NBA,39.1,0.552,9,74,74,2620,721,1545,688,1421,33,124,545,647,70,316,386,290,78,13,180,134,2020,0.467,0.484,0.266,0.477,0.842
108,Dale Ellis\ellisda01,Dale Ellis,ellisda01,1987-88,27,SEA,NBA,33.3,0.572,9,75,73,2790,764,1519,657,1260,107,259,303,395,167,173,340,197,74,11,172,221,1938,0.503,0.521,0.413,0.538,0.767
109,Ray Allen\allenra02,Ray Allen,allenra02,2001-02,26,MIL,NBA,31.7,0.598,8.9,69,67,2525,530,1148,301,620,229,528,214,245,81,231,312,271,88,18,159,157,1503,0.462,0.485,0.434,0.561,0.873
110,Kyrie Irving\irvinky01,Kyrie Irving,irvinky01,2016-17,24,CLE,NBA,35.9,0.58,8.9,72,72,2525,671,1420,494,979,177,441,297,328,52,178,230,418,83,24,180,157,1816,0.473,0.505,0.401,0.535,0.905
111,Klay Thompson\thompkl01,Klay Thompson,thompkl01,2014-15,24,GSW,NBA,33.2,0.591,8.8,77,77,2455,602,1299,363,754,239,545,225,256,27,220,247,222,87,60,149,122,1668,0.463,0.481,0.439,0.555,0.879
112,Dwyane Wade\wadedw01,Dwyane Wade,wadedw01,2006-07,25,MIA,NBA,38.6,0.583,8.8,51,50,1931,472,962,451,883,21,79,432,535,51,188,239,384,107,62,216,117,1397,0.491,0.511,0.266,0.502,0.807
113,Ben Gordon\gordobe01,Ben Gordon,gordobe01,2006-07,23,CHI,NBA,33.2,0.572,8.6,82,51,2704,609,1338,454,963,155,375,380,440,35,223,258,296,64,17,249,252,1753,0.455,0.471,0.413,0.513,0.864
114,Tony Parker\parketo01,Tony Parker,parketo01,2008-09,26,SAS,NBA,35,0.556,8.6,72,71,2456,639,1263,620,1198,19,65,284,363,27,196,223,496,67,4,186,110,1581,0.506,0.518,0.292,0.513,0.782
115,Bradley Beal\bealbr01,Bradley Beal,bealbr01,2016-17,23,WAS,NBA,32.7,0.604,8.5,77,77,2684,637,1322,414,770,223,552,282,342,53,187,240,267,83,21,156,169,1779,0.482,0.538,0.404,0.566,0.825
116,Kevin Martin\martike02,Kevin Martin,martike02,2007-08,24,SAC,NBA,33,0.618,8.4,61,57,2216,417,914,310,648,107,266,502,578,48,225,273,129,62,5,131,150,1443,0.456,0.478,0.402,0.515,0.869
117,Walter Davis\daviswa03,Walter Davis,daviswa03,1979-80,25,PHO,NBA,32,0.608,8.3,75,,2309,657,1166,657,1162,0,4,299,365,75,197,272,337,114,19,242,202,1613,0.563,0.565,0,0.563,0.819
118,Otis Birdsong\birdsot01,Otis Birdsong,birdsot01,1980-81,25,KCK,NBA,31.9,0.58,8.2,71,,2593,710,1306,700,1271,10,35,317,455,119,139,258,233,93,18,173,172,1747,0.544,0.551,0.286,0.547,0.697
119,Kobe Bryant\bryanko01,Kobe Bryant,bryanko01,2004-05,26,LAL,NBA,35.7,0.563,8.1,66,66,2689,573,1324,442,937,131,387,542,664,95,297,392,398,86,53,270,174,1819,0.433,0.472,0.339,0.482,0.816
120,Latrell Sprewell\sprewla01,Latrell Sprewell,sprewla01,1996-97,26,GSW,NBA,30.2,0.57,8.1,80,79,3353,649,1444,502,1029,147,415,493,585,58,308,366,507,132,45,322,153,1938,0.449,0.488,0.354,0.5,0.843
121,Kemba Walker\walkeke02,Kemba Walker,walkeke02,2016-17,26,CHO,NBA,33.5,0.569,8.1,79,79,2739,643,1449,403,847,240,602,304,359,45,263,308,434,85,22,168,119,1830,0.444,0.476,0.399,0.527,0.847
122,Mitch Richmond\richmmi01,Mitch Richmond,richmmi01,1994-95,29,SAC,NBA,30.6,0.551,8,82,82,3172,668,1497,512,1073,156,424,375,445,69,288,357,311,91,29,234,227,1867,0.446,0.477,0.368,0.498,0.843
123,Derek Smith\smithde02,Derek Smith,smithde02,1984-85,23,LAC,NBA,30.4,0.592,8,80,80,2762,682,1271,679,1252,3,19,400,504,174,253,427,216,77,52,230,317,1767,0.537,0.542,0.158,0.538,0.794
124,Klay Thompson\thompkl01,Klay Thompson,thompkl01,2015-16,25,GSW,NBA,32.1,0.597,8,80,80,2666,651,1386,375,736,276,650,193,221,35,271,306,166,60,49,138,152,1771,0.47,0.51,0.425,0.569,0.873
125,Ricky Pierce\piercri01,Ricky Pierce,piercri01,1990-91,31,TOT,NBA,36.8,0.586,7.9,78,2,2167,561,1156,515,1040,46,116,430,471,67,124,191,168,60,13,147,170,1598,0.485,0.495,0.397,0.505,0.913
126,Mitch Richmond\richmmi01,Mitch Richmond,richmmi01,1997-98,32,SAC,NBA,32.9,0.569,7.9,70,70,2569,543,1220,413,886,130,334,407,471,50,179,229,279,88,15,181,154,1623,0.445,0.466,0.389,0.498,0.864
127,Ricky Pierce\piercri01,Ricky Pierce,piercri01,1991-92,32,SEA,NBA,32,0.561,7.8,78,78,2658,620,1306,587,1183,33,123,417,455,93,140,233,241,86,20,189,213,1690,0.475,0.496,0.268,0.487,0.916
128,Ricky Pierce\piercri01,Ricky Pierce,piercri01,1992-93,33,SEA,NBA,31.6,0.572,7.7,77,72,2218,524,1071,482,958,42,113,313,352,58,134,192,220,100,7,160,167,1403,0.489,0.503,0.372,0.509,0.889
129,Dwyane Wade\wadedw01,Dwyane Wade,wadedw01,2011-12,30,MIA,NBA,35,0.559,7.7,49,49,1625,416,837,401,781,15,56,235,297,73,164,237,225,82,63,129,110,1082,0.497,0.513,0.268,0.506,0.791
130,Richard Hamilton\hamilri01,Richard Hamilton,hamilri01,2005-06,27,DET,NBA,31.5,0.553,7.6,80,80,2825,649,1322,594,1202,55,120,256,303,84,172,256,275,52,16,173,207,1609,0.491,0.494,0.458,0.512,0.845
131,C.J. McCollum\mccolcj01,C.J. McCollum,mccolcj01,2016-17,25,POR,NBA,32.6,0.585,7.6,80,80,2796,692,1441,507,1002,185,439,268,294,60,229,289,285,72,42,172,202,1837,0.48,0.506,0.421,0.544,0.912
132,Goran Dragic\dragigo01,Goran Dragic,dragigo01,2016-17,30,MIA,NBA,30.4,0.575,7.5,73,73,2459,534,1124,417,835,117,289,298,377,62,217,279,423,89,13,212,199,1483,0.475,0.499,0.405,0.527,0.79
133,Devin Harris\harride01,Devin Harris,harride01,2008-09,25,NJN,NBA,31.5,0.563,7.5,69,69,2494,455,1039,391,819,64,220,496,605,30,201,231,476,114,13,212,164,1470,0.438,0.477,0.291,0.469,0.82
134,Jamal Crawford\crawfja01,Jamal Crawford,crawfja01,2009-10,29,ATL,NBA,30.9,0.573,7.3,79,0,2460,496,1105,333,678,163,427,270,315,34,167,201,238,61,12,137,132,1425,0.449,0.491,0.382,0.523,0.857
135,Jason Terry\terryja01,Jason Terry,terryja01,2008-09,31,DAL,NBA,30.5,0.571,7.3,74,11,2491,541,1168,374,712,167,456,198,225,39,138,177,251,97,20,119,141,1447,0.463,0.525,0.366,0.535,0.88
136,Andrew Toney\toneyan01,Andrew Toney,toneyan01,1982-83,25,PHI,NBA,30.2,0.558,7.3,81,81,2474,626,1250,604,1174,22,76,324,411,42,183,225,365,80,17,271,255,1598,0.501,0.514,0.289,0.51,0.788
137,Allan Houston\houstal01,Allan Houston,houstal01,2002-03,31,NYK,NBA,31.4,0.563,7.2,82,82,3108,652,1465,474,1015,178,450,363,395,26,205,231,220,54,7,178,191,1845,0.445,0.467,0.396,0.506,0.919
138,Klay Thompson\thompkl01,Klay Thompson,thompkl01,2016-17,26,GSW,NBA,31.6,0.592,7.1,78,78,2649,644,1376,376,729,268,647,186,218,49,236,285,160,66,40,128,139,1742,0.468,0.516,0.414,0.565,0.853
139,James Silas\silasja01,James Silas,silasja01,1980-81,31,SAS,NBA,30.1,0.557,7,75,,2055,476,997,476,995,0,2,374,440,44,187,231,285,51,12,159,129,1326,0.477,0.478,0,0.477,0.85
140,Ray Allen\allenra02,Ray Allen,allenra02,2003-04,28,SEA,NBA,31.9,0.566,6.9,56,56,2152,447,1017,299,639,148,378,245,271,69,217,286,268,71,11,156,132,1287,0.44,0.468,0.392,0.512,0.904
141,Ricky Pierce\piercri01,Ricky Pierce,piercri01,1988-89,29,MIL,NBA,30.9,0.573,6.7,75,4,2078,527,1018,519,982,8,36,255,297,82,115,197,156,77,19,112,193,1317,0.518,0.529,0.222,0.522,0.859
142,Lou Williams\willilo02,Lou Williams,willilo02,2014-15,28,TOR,NBA,31.9,0.564,6.6,80,0,2016,375,928,223,481,152,447,340,395,24,127,151,164,88,10,101,103,1242,0.404,0.464,0.34,0.486,0.861
143,Dale Ellis\ellisda01,Dale Ellis,ellisda01,1989-90,29,SEA,NBA,32,0.58,6.4,55,49,2033,502,1011,406,755,96,256,193,236,90,148,238,110,59,7,119,124,1293,0.497,0.538,0.375,0.544,0.818
144,Mitch Richmond\richmmi01,Mitch Richmond,richmmi01,1993-94,28,SAC,NBA,31,0.551,6.4,78,78,2897,635,1428,508,1116,127,312,426,511,70,216,286,313,103,17,216,211,1823,0.445,0.455,0.407,0.489,0.834
145,David Thompson\thompda01,David Thompson,thompda01,1980-81,26,DEN,NBA,32.8,0.571,6.4,77,,2620,734,1451,724,1412,10,39,489,615,107,180,287,231,53,60,250,231,1967,0.506,0.513,0.256,0.509,0.795
146,Ray Allen\allenra02,Ray Allen,allenra02,2006-07,31,SEA,NBA,34.3,0.564,6.3,55,55,2219,505,1153,340,710,165,443,279,309,57,190,247,228,82,11,154,113,1454,0.438,0.479,0.372,0.51,0.903
147,Michael Redd\reddmi01,Michael Redd,reddmi01,2006-07,27,MIL,NBA,36.2,0.586,6.1,53,53,2036,477,1025,360,719,117,306,345,416,42,154,196,124,63,9,122,78,1416,0.465,0.501,0.382,0.522,0.829
148,Isaiah Thomas\thomais02,Isaiah Thomas,thomais02,2014-15,25,TOT,NBA,31.8,0.579,6.1,67,1,1726,335,797,206,451,129,346,302,348,33,120,153,284,57,5,143,150,1101,0.42,0.457,0.373,0.501,0.868
149,Lou Williams\willilo02,Lou Williams,willilo02,2016-17,30,TOT,NBA,34.6,0.593,6.1,81,1,1994,428,998,265,552,163,446,402,457,26,176,202,239,80,20,160,92,1421,0.429,0.48,0.365,0.511,0.88
150,Walter Davis\daviswa03,Walter Davis,daviswa03,1986-87,32,PHO,NBA,33.2,0.562,5.8,79,79,2646,779,1515,758,1434,21,81,288,334,90,154,244,364,96,5,226,184,1867,0.514,0.529,0.259,0.521,0.862
151,Ricky Pierce\piercri01,Ricky Pierce,piercri01,1989-90,30,MIL,NBA,38.9,0.592,5.8,59,0,1709,503,987,457,854,46,133,307,366,64,103,167,133,50,7,129,158,1359,0.51,0.535,0.346,0.533,0.839
152,Michael Redd\reddmi01,Michael Redd,reddmi01,2007-08,28,MIL,NBA,31.7,0.559,5.8,72,71,2702,550,1243,420,884,130,359,402,490,85,224,309,247,65,13,181,120,1632,0.442,0.475,0.362,0.495,0.82
153,George Gervin\gervige01,George Gervin,gervige01,1983-84,31,SAS,NBA,34.3,0.551,5.5,76,76,2584,765,1561,755,1537,10,24,427,507,106,207,313,220,79,47,224,219,1967,0.49,0.491,0.417,0.493,0.842
154,Dwyane Wade\wadedw01,Dwyane Wade,wadedw01,2013-14,32,MIA,NBA,30.5,0.588,5.5,54,53,1775,415,761,406,729,9,32,189,258,60,181,241,252,79,29,161,106,1028,0.545,0.557,0.281,0.551,0.733
155,Eric Bledsoe\bledser01,Eric Bledsoe,bledser01,2016-17,27,PHO,NBA,30.6,0.563,5.3,66,66,2176,449,1034,345,724,104,310,388,458,52,268,320,418,91,31,224,164,1390,0.434,0.477,0.335,0.485,0.847
156,Jamal Crawford\crawfja01,Jamal Crawford,crawfja01,2013-14,33,LAC,NBA,30.6,0.556,5.3,69,24,2094,421,1011,260,565,161,446,279,322,34,124,158,223,59,12,135,120,1282,0.416,0.46,0.361,0.496,0.866
157,Eric Gordon\gordoer01,Eric Gordon,gordoer01,2010-11,22,LAC,NBA,30.5,0.566,5.3,56,56,2112,427,949,321,658,106,291,287,348,45,119,164,244,71,18,151,115,1247,0.45,0.488,0.364,0.506,0.825
158,Kyrie Irving\irvinky01,Kyrie Irving,irvinky01,2012-13,20,CLE,NBA,33.7,0.553,5.3,59,59,2048,484,1070,375,791,109,279,248,290,34,182,216,350,89,21,191,146,1325,0.452,0.474,0.391,0.503,0.855
159,Ben Gordon\gordobe01,Ben Gordon,gordobe01,2007-08,24,CHI,NBA,30.1,0.558,5.1,72,27,2291,464,1069,322,723,142,346,266,293,40,181,221,213,55,8,150,171,1336,0.434,0.445,0.41,0.5,0.908
160,Joe Johnson\johnsjo02,Joe Johnson,johnsjo02,2006-07,25,ATL,NBA,32.2,0.558,5.1,57,57,2359,536,1139,417,827,119,312,235,314,53,186,239,249,60,11,176,115,1426,0.471,0.504,0.381,0.523,0.748
161,Kevin Martin\martike02,Kevin Martin,martike02,2008-09,25,SAC,NBA,32.8,0.601,4.7,51,46,1947,341,811,226,534,115,277,457,527,29,154,183,138,61,8,146,116,1254,0.42,0.423,0.415,0.491,0.867
162,George Gervin\gervige01,George Gervin,gervige01,1984-85,32,SAS,NBA,33.7,0.564,4.6,72,69,2091,600,1182,600,1172,0,10,324,384,79,155,234,178,66,48,198,208,1524,0.508,0.512,0,0.508,0.844
163,Kyrie Irving\irvinky01,Kyrie Irving,irvinky01,2011-12,19,CLE,NBA,31.8,0.566,4.1,51,51,1558,350,747,277,564,73,183,171,196,44,147,191,275,54,20,160,110,944,0.469,0.491,0.399,0.517,0.872
164,Andrew Toney\toneyan01,Andrew Toney,toneyan01,1981-82,24,PHI,NBA,31.8,0.572,4,77,1,1909,511,979,486,920,25,59,227,306,43,91,134,283,64,17,214,269,1274,0.522,0.528,0.424,0.535,0.742
165,J.R. Smith\smithjr01,J.R. Smith,smithjr01,2007-08,22,DEN,NBA,30.7,0.603,3.7,74,0,1421,311,674,154,284,157,390,128,178,43,109,152,128,62,12,112,144,907,0.461,0.542,0.403,0.578,0.719
166,Mike McGee\mcgeemi01,Mike McGee,mcgeemi01,1984-85,25,LAL,NBA,30.8,0.567,3,76,3,1170,329,612,307,551,22,61,94,160,97,68,165,71,39,7,81,147,774,0.538,0.557,0.361,0.556,0.588
167,Walter Davis\daviswa03,Walter Davis,daviswa03,1981-82,27,PHO,NBA,32.4,0.553,2.7,55,12,1182,350,669,347,653,3,16,91,111,21,82,103,162,46,3,112,104,794,0.523,0.531,0.188,0.525,0.82
168,Nick Young\youngni01,Nick Young,youngni01,2013-14,28,LAL,NBA,30.7,0.564,2.5,64,9,1810,387,889,252,539,135,350,235,285,29,137,166,95,46,12,95,156,1144,0.435,0.468,0.386,0.511,0.825
169,David Thompson\thompda01,David Thompson,thompda01,1981-82,27,DEN,NBA,31.8,0.571,2,61,5,1246,313,644,309,630,4,14,276,339,57,91,148,117,34,29,142,149,906,0.486,0.49,0.286,0.489,0.814
